,city,city_id,date,lat,lon,country,maxTemp,cloudiness,humidity,windSpeed
281,tessalit,2449893,01 Apr 2019,20.2,1.01,ML,306.0,0,22,2.92
282,marsh harbour,3571913,01 Apr 2019,26.54,-77.06,BS,298.05,32,99,3.02
283,luziania,3458329,01 Apr 2019,-16.25,-47.95,BR,300.15,40,51,2.6
284,fort nelson,5955902,01 Apr 2019,58.81,-122.69,CA,277.15,40,55,1.5
285,vestmannaeyjar,3412093,01 Apr 2019,63.44,-20.27,IS,273.15,40,89,6.2
286,santa isabel do rio negro,3662489,01 Apr 2019,-0.41,-65.02,BR,301.7,92,84,1.34
287,ipaussu,3450272,01 Apr 2019,-23.06,-49.63,BR,304.15,0,44,2.52
288,mount gambier,2156643,01 Apr 2019,-37.83,140.78,AU,279.15,20,93,1.17
289,inongo,2315417,01 Apr 2019,-1.93,18.29,CD,300.1,20,78,0.72
290,saint george,262462,01 Apr 2019,39.45,22.34,GR,287.59,0,62,2.6
291,yulara,6355222,01 Apr 2019,-25.24,130.99,AU,288.15,0,30,2.6
292,ginda,1253628,01 Apr 2019,30.69,78.49,IN,278.8,0,62,1.04
293,killybegs,2963295,01 Apr 2019,54.63,-8.45,IE,279.15,90,93,6.7
294,amapa,3603330,01 Apr 2019,15.09,-87.97,HN,305.93,40,46,4.6
295,jacareacanga,3397763,01 Apr 2019,-6.22,-57.76,BR,303.05,64,72,1.27
296,camocim,3403687,01 Apr 2019,-2.9,-40.84,BR,301.65,56,92,2.37
297,florianopolis,3463237,01 Apr 2019,-27.6,-48.55,BR,301.48,40,69,4.6
298,tecolutla,3514593,01 Apr 2019,17.31,-98.74,MX,300.95,0,30,1.04
299,matagami,2335713,01 Apr 2019,9.67,8.4,NG,303.5,0,20,3.17
300,hamilton,3573197,01 Apr 2019,32.3,-64.78,BM,295.15,40,68,7.2
301,provideniya,4031574,01 Apr 2019,64.42,-173.23,RU,270.4,56,95,4.27
302,laurel,5661766,01 Apr 2019,45.67,-108.77,US,282.59,75,70,2.6
303,bahia blanca,3865086,01 Apr 2019,-38.72,-62.27,AR,299.4,8,63,2.27
304,atambua,1651103,01 Apr 2019,-9.11,124.89,ID,297.75,56,100,0.92
305,mangan,1263776,01 Apr 2019,27.5,88.54,IN,269.3,12,83,0.79
306,waingapu,1622318,01 Apr 2019,-9.65,120.26,ID,294.5,8,98,1.22
307,lander,5830007,01 Apr 2019,42.83,-108.73,US,282.59,1,52,3.6
308,gao,2457163,01 Apr 2019,16.28,-0.04,ML,310.65,20,19,1.29
309,dovers,3577911,01 Apr 2019,12.88,-61.18,VC,301.15,20,69,3.6
310,jieshi,1805857,01 Apr 2019,22.82,115.83,CN,291.55,36,100,9.12
311,santiago de cao,3692073,01 Apr 2019,-7.96,-79.24,PE,295.15,40,83,6.2
312,beloha,1067565,01 Apr 2019,-25.17,45.06,MG,296.25,0,69,4.74
313,itacoatiara,3397893,01 Apr 2019,-3.14,-58.44,BR,303.15,20,74,2.1
314,saravan,174726,01 Apr 2019,39.72,45.65,AM,280.15,90,65,5.1
315,twin falls,5610810,01 Apr 2019,42.57,-114.46,US,286.15,40,32,2.1
