,city,city_id,date,lat,lon,country,maxTemp,cloudiness,humidity,windSpeed
122,ciudad bolivar,3645532,01 Apr 2019,8.12,-63.55,VE,97.54,0,27,14.34
123,sitka,4267710,01 Apr 2019,37.17,-99.65,US,55.0,0,48,3.0
124,sao filipe,3374210,01 Apr 2019,14.9,-24.5,CV,70.81,0,97,14.56
125,baykalovo,581049,01 Apr 2019,64.58,40.26,RU,30.2,40,54,11.18
126,cururupu,3401148,01 Apr 2019,-1.82,-44.87,BR,74.95,92,100,3.6
127,tezu,1254709,01 Apr 2019,27.93,96.16,IN,52.36,92,100,1.48
128,luderitz,3355672,01 Apr 2019,-26.65,15.16,NA,61.63,0,71,20.38
129,longyearbyen,2729907,01 Apr 2019,78.22,15.63,NO,10.4,20,60,11.41
130,luanda,2240449,01 Apr 2019,-8.83,13.24,AO,84.2,20,79,9.17
131,nago,3172402,01 Apr 2019,45.88,10.89,IT,60.8,0,44,5.82
132,lasa,146639,01 Apr 2019,34.92,32.53,CY,55.4,40,87,4.7
133,mahebourg,934322,01 Apr 2019,-20.41,57.7,MU,75.0,20,88,5.82
134,tuktoyaktuk,6170031,01 Apr 2019,69.44,-133.03,CA,6.8,20,77,11.41
135,haines junction,5969025,01 Apr 2019,60.75,-137.51,CA,45.61,0,40,2.82
136,baghdad,98182,01 Apr 2019,33.3,44.38,IQ,51.8,0,93,8.05
137,kavieng,2094342,01 Apr 2019,-2.57,150.8,PG,83.68,76,100,10.58
138,sindor,492860,01 Apr 2019,62.87,51.9,RU,24.28,0,79,10.02
139,hay river,5972762,01 Apr 2019,60.82,-115.79,CA,30.2,40,63,14.99
140,bonfim,3451126,01 Apr 2019,-20.33,-44.24,BR,73.4,40,69,8.05
141,ancud,3899695,01 Apr 2019,-41.87,-73.83,CL,53.6,90,93,18.34
142,ponta do sol,3453439,01 Apr 2019,-20.63,-46.0,BR,77.47,76,58,1.07
143,carnarvon,1014034,01 Apr 2019,-30.97,22.13,ZA,48.94,0,35,12.37
144,merauke,2082539,01 Apr 2019,-8.49,140.4,ID,75.67,92,100,10.13
145,beira,3119841,01 Apr 2019,43.2,-8.36,ES,57.0,0,87,4.7
146,araceli,1730272,01 Apr 2019,10.55,119.99,PH,80.98,0,99,21.21
147,kodiak,4407665,01 Apr 2019,39.95,-94.76,US,57.2,1,7,17.22
148,chapais,5919850,01 Apr 2019,49.78,-74.86,CA,26.6,90,58,11.41
149,fortuna,2517679,01 Apr 2019,38.18,-1.13,ES,60.01,75,82,5.82
150,san pedro,3428576,01 Apr 2019,-33.68,-59.66,AR,73.15,88,88,11.32
151,kruisfontein,986717,01 Apr 2019,-34.0,24.73,ZA,57.76,48,83,8.57
152,iqaluit,5983720,01 Apr 2019,63.75,-68.52,CA,6.8,20,65,4.7
153,severo-kurilsk,2121385,01 Apr 2019,50.68,156.12,RU,28.33,88,100,6.51
154,moyuta,3592322,01 Apr 2019,14.04,-90.08,GT,90.79,8,44,7.11
155,mar del plata,3863379,01 Apr 2019,-46.43,-67.52,AR,69.46,64,52,24.4
156,rio gallegos,3838859,01 Apr 2019,-51.62,-69.22,AR,59.0,75,72,2.24
157,port lincoln,2063036,01 Apr 2019,-34.72,135.86,AU,59.65,0,100,12.77
158,ilulissat,3423146,01 Apr 2019,69.22,-51.1,GL,17.6,20,48,24.16
159,manicore,3663503,01 Apr 2019,-5.81,-61.3,BR,91.4,40,55,2.24
160,launceston,2160517,01 Apr 2019,-41.43,147.14,AU,52.0,90,81,5.82
161,aklavik,5882953,01 Apr 2019,68.22,-135.01,CA,24.8,75,68,6.93
162,denpasar,1645528,01 Apr 2019,-8.65,115.22,ID,78.8,20,83,3.36
163,conde,3465713,01 Apr 2019,-11.81,-37.61,BR,80.17,76,92,6.78
164,maamba,908718,01 Apr 2019,-17.36,27.22,ZM,64.78,0,59,3.38
165,taksimo,2015701,01 Apr 2019,56.36,114.84,RU,4.48,0,69,1.07
166,half moon bay,5354943,01 Apr 2019,37.46,-122.43,US,66.99,1,87,9.17
167,ardakan,143073,01 Apr 2019,32.31,54.02,IR,69.8,20,37,9.17
168,homer,5864145,01 Apr 2019,59.64,-151.54,US,46.99,90,75,3.36
169,barrow,3833859,01 Apr 2019,-38.31,-60.23,AR,83.23,20,35,11.32
170,senneterre,6144195,01 Apr 2019,48.39,-77.24,CA,33.8,75,43,13.87
171,nanortalik,3421765,01 Apr 2019,60.14,-45.24,GL,27.61,92,100,23.4
172,daia,679822,01 Apr 2019,43.99,25.99,RO,57.0,0,37,13.87
173,yugorsk,1502725,01 Apr 2019,61.32,63.33,RU,29.86,20,82,12.1
174,tazmalt,2477537,01 Apr 2019,36.39,4.4,DZ,59.0,75,93,4.7
175,tarakan,1624725,01 Apr 2019,3.3,117.63,ID,78.91,64,100,2.08
176,salvador,3450554,01 Apr 2019,-12.98,-38.48,BR,86.0,75,74,8.05
177,dabhol,1273765,01 Apr 2019,17.6,73.17,IN,73.33,0,100,7.29
178,port elizabeth,4501427,01 Apr 2019,39.31,-74.98,US,53.01,1,26,10.29
179,cidreira,3466165,01 Apr 2019,-30.17,-50.22,BR,77.38,0,71,11.77
180,charters towers,2171722,01 Apr 2019,-20.07,146.27,AU,66.22,76,93,8.12
181,geraldton,5960603,01 Apr 2019,49.72,-86.95,CA,32.0,75,57,19.46
182,lebu,344979,01 Apr 2019,8.96,38.73,ET,62.6,75,63,6.93
183,kalininsk,554199,01 Apr 2019,51.5,44.48,RU,31.57,0,90,8.08
184,codrington,2160063,01 Apr 2019,-28.95,153.24,AU,62.6,40,93,4.32
185,puerto narino,3671387,01 Apr 2019,-3.77,-70.38,CO,82.4,75,88,8.05
186,huangzhai,1807687,01 Apr 2019,23.86,112.01,CN,61.09,92,100,2.86
187,mattru,2409215,01 Apr 2019,7.62,-11.83,SL,84.49,12,67,7.34
188,clermont,2171365,01 Apr 2019,-22.82,147.64,AU,57.67,0,88,8.79
189,barcelona,3128760,01 Apr 2019,41.38,2.18,ES,59.0,0,76,4.7
190,takoradi,2294915,01 Apr 2019,4.89,-1.75,GH,82.96,0,97,8.63
191,arcelia,4018320,01 Apr 2019,18.32,-100.28,MX,87.73,0,18,3.09
192,halifax,6324729,01 Apr 2019,44.65,-63.58,CA,39.99,75,48,20.8
193,souillac,3026644,01 Apr 2019,45.6,-0.6,FR,57.2,0,67,3.36
194,phan thiet,1571058,01 Apr 2019,10.93,108.1,VN,76.75,20,100,10.09
195,swan hill,2147756,01 Apr 2019,-35.34,143.56,AU,45.43,0,85,2.86
196,mascota,3996472,01 Apr 2019,20.53,-104.79,MX,79.0,5,69,13.87
197,ewa beach,5855051,01 Apr 2019,21.32,-158.01,US,80.01,1,57,11.41
198,nador,2541479,01 Apr 2019,35.17,-2.93,MA,62.6,0,63,3.83
199,itoman,1861280,01 Apr 2019,26.12,127.67,JP,59.0,20,47,10.29
200,puksoozero,504187,01 Apr 2019,62.59,40.61,RU,19.15,0,76,7.9
201,fonte boa,3664207,01 Apr 2019,-2.51,-66.09,BR,84.13,56,81,4.05
202,fukue,1848373,01 Apr 2019,35.03,136.69,JP,41.0,20,75,20.8
203,lavrentiya,4031637,01 Apr 2019,65.58,-170.99,RU,26.26,44,100,1.97
204,yelovo,467711,01 Apr 2019,57.05,54.92,RU,28.78,0,92,3.27
205,norman wells,6089245,01 Apr 2019,65.28,-126.83,CA,26.6,75,73,12.75
206,katsuura,1865309,01 Apr 2019,33.93,134.5,JP,37.4,20,64,8.05
207,megion,1499053,01 Apr 2019,61.04,76.11,RU,37.4,0,64,13.42
208,tura,1254046,01 Apr 2019,25.52,90.21,IN,62.89,0,94,4.76
209,waitati,2179825,01 Apr 2019,-45.75,170.57,NZ,50.0,0,64,17.0
210,deputatskiy,2028164,01 Apr 2019,69.3,139.9,RU,-9.93,24,49,5.61
211,clyde river,5924351,01 Apr 2019,70.47,-68.59,CA,-0.41,90,84,9.17
212,isangel,2136825,01 Apr 2019,-19.55,169.27,VU,79.9,80,100,12.77
213,juneau,5554072,01 Apr 2019,58.3,-134.42,US,53.6,1,43,9.17
214,wajima,1848976,01 Apr 2019,37.4,136.9,JP,38.95,92,100,9.08
215,mopipi,933288,01 Apr 2019,-21.2,24.86,BW,77.29,0,44,10.36
216,rayagada,1258289,01 Apr 2019,19.17,83.42,IN,61.18,8,91,1.48
217,narsaq,3421719,01 Apr 2019,60.91,-46.05,GL,23.0,92,49,2.24
218,lac-megantic,6032673,01 Apr 2019,45.58,-70.88,CA,28.0,20,42,23.04
219,hovd,7626384,01 Apr 2019,63.83,10.7,NO,37.99,20,88,8.05
